Episode,TotalReward,FinalScore
0,455.15,1600
1,684.77,1200
2,767.54,2000
3,735.29,2000
4,868.94,2800
5,234.13,1600
6,670.68,1600
7,44.48,1600
8,493.70,1600
9,884.12,3200
10,464.90,1600
11,647.66,2000
12,478.60,1600
13,618.29,2400
14,613.77,2000
15,636.07,1600
16,391.98,800
17,146.71,2400
18,691.56,1600
19,909.77,2000
20,754.82,2000
21,395.71,2000
22,611.52,1600
23,449.69,1200
24,778.05,2400
25,518.66,1600
26,634.56,2000
27,695.02,1600
28,873.11,2000
29,728.21,1600
30,625.83,2000
31,709.76,2000
32,673.51,2000
33,-7604.59,2400
34,247.50,800
35,533.96,1200
36,536.98,2000
37,713.18,2400
38,733.41,2800
39,446.54,1600
40,277.94,1200
41,861.69,1200
42,117.04,2000
43,465.76,2400
44,704.51,2800
45,336.24,2400
46,500.21,2000
47,592.50,2000
48,527.04,1600
49,62.37,2400
50,885.82,1600
51,478.45,1600
52,769.33,2400
53,699.97,2000
54,674.83,2400
55,880.40,2000
56,524.60,2000
57,372.11,1200
58,702.99,2000
59,742.74,1600
60,769.02,2000
61,620.53,2000
62,325.64,1200
63,463.22,2000
64,415.45,1200
65,435.27,1600
66,-8443.58,1200
67,37.94,1200
68,726.97,1600
69,-6048.24,2000
70,725.24,1600
71,187.47,2000
72,454.05,2000
73,628.47,2000
74,307.87,1200
75,1021.93,3200
76,719.40,2400
77,327.42,1600
78,188.81,1600
79,714.38,2000
80,897.93,2000
81,333.82,2000
82,468.34,2800
83,328.45,2000
84,254.20,800
85,90.65,2400
86,664.68,2000
87,49.68,2000
88,723.60,1600
89,110.70,800
90,621.24,1200
91,546.09,2400
92,138.77,2000
93,661.24,2000
94,718.63,2400
95,343.13,1600
96,470.08,2000
97,705.93,2400
98,709.98,1600
99,566.97,1200
100,289.61,2000
101,169.96,2400
102,514.46,1600
103,818.76,2400
104,557.74,2000
105,497.45,1600
106,391.31,1200
107,637.39,1600
108,771.43,2800
109,632.84,1200
110,596.80,2400
111,364.93,1600
112,688.86,1200
113,421.54,2000
114,707.47,2400
115,417.19,1600
116,581.90,1600
117,653.74,1200
118,519.73,1600
